Order City,Apparel,Book Shop,Discs Shop,Fan Shop,Fitness,Footwear,Golf,Health and Beauty ,Outdoors,Pet Shop,Technology
Durg,11.0,0.0,0.0,6.0,0.0,2.0,3.0,0.0,4.0,3.0,0.0
Durgapur,13.0,1.0,1.0,22.0,1.0,3.0,13.0,0.0,6.0,3.0,0.0
Durham,10.0,0.0,0.0,8.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0
Durres,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Duzce,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dzhezkazgan,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Eagan,8.0,0.0,0.0,12.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0
East Kilbride,5.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0
East London,15.0,0.0,0.0,17.0,0.0,2.0,9.0,0.0,3.0,0.0,0.0
East Orange,4.0,0.0,0.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
East Point,4.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Eastbourne,15.0,0.0,0.0,23.0,0.0,6.0,9.0,0.0,3.0,0.0,0.0
Eau Claire,5.0,0.0,0.0,6.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0
Ebolowa,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Echirolles,6.0,2.0,0.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Echuca,0.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Edea,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Edinburg,4.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
Edinburgh,44.0,0.0,0.0,74.0,2.0,21.0,26.0,0.0,11.0,0.0,5.0
Edmond,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Edmonds,14.0,0.0,0.0,8.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0
Edmonton,9.0,0.0,0.0,14.0,1.0,7.0,9.0,0.0,3.0,0.0,0.0
Edogawa-ku,5.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
Eggenstein-Leopoldshafen,5.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0
Eindhoven,6.0,0.0,2.0,14.0,0.0,3.0,7.0,0.0,1.0,0.0,0.0
Ekibastuz,7.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
El Aaiún,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
El Cajon,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
El Ejido,5.0,0.0,0.0,24.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0
El Escorial,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
El Jadida,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
El Limón,4.0,0.0,0.0,12.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0
El Paso,11.0,0.0,0.0,13.0,0.0,10.0,8.0,0.0,1.0,0.0,0.0
El Prat de Llobregat,4.0,0.0,0.0,5.0,1.0,2.0,5.0,0.0,2.0,0.0,0.0
El Progreso,52.0,0.0,0.0,65.0,2.0,18.0,37.0,0.0,7.0,0.0,0.0
El Tigre,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Elazig,5.0,0.0,0.0,7.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0
Elbasan,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Elbeuf,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Elda,6.0,0.0,0.0,11.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0
Elkhart,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Elmhurst,2.0,0.0,0.0,6.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0
Elx,19.0,0.0,1.0,23.0,0.0,2.0,18.0,0.0,2.0,0.0,4.0
Elyria,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Emden,8.0,0.0,0.0,16.0,1.0,6.0,3.0,0.0,2.0,0.0,4.0
Emmen,15.0,0.0,0.0,17.0,1.0,3.0,11.0,0.0,3.0,0.0,0.0
Encinitas,3.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0
Englewood,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0
Ennigerloh,1.0,0.0,0.0,7.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
Enschede,6.0,0.0,0.0,8.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0
Ensenada,14.0,0.0,0.0,18.0,0.0,3.0,6.0,0.0,3.0,0.0,0.0
Enugu,14.0,0.0,0.0,17.0,1.0,3.0,11.0,0.0,4.0,0.0,0.0
Envigado,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Epinal,11.0,0.0,0.0,6.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0
Epworth,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Eragny,4.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0
Ercolano,4.0,0.0,0.0,13.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0
Erechim,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Erftstadt,9.0,0.0,0.0,10.0,0.0,4.0,6.0,0.0,1.0,0.0,0.0
Erfurt,12.0,6.0,1.0,13.0,1.0,3.0,5.0,0.0,2.0,0.0,0.0
Erlangen,20.0,0.0,0.0,37.0,2.0,7.0,20.0,0.0,0.0,0.0,0.0
Ermont,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Erzurum,10.0,0.0,0.0,9.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0
Esbjerg,4.0,0.0,0.0,5.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0
Escondido,2.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0
Escuintla,42.0,0.0,0.0,69.0,2.0,13.0,39.0,0.0,6.0,0.0,0.0
Esenyurt,6.0,0.0,0.0,14.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0
Eskilstuna,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Eskisehir,12.0,0.0,0.0,13.0,0.0,6.0,8.0,0.0,2.0,0.0,0.0
Espoo,18.0,0.0,0.0,35.0,2.0,8.0,17.0,0.0,1.0,0.0,0.0
Esquina,4.0,0.0,0.0,9.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0
Essen,55.0,1.0,1.0,85.0,3.0,16.0,40.0,0.0,9.0,0.0,0.0
Estambul,199.0,0.0,0.0,281.0,5.0,63.0,158.0,0.0,37.0,0.0,0.0
Estelí,40.0,0.0,0.0,65.0,5.0,14.0,34.0,0.0,3.0,0.0,0.0
Estepona,2.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Estocolmo,171.0,5.0,1.0,189.0,3.0,46.0,121.0,0.0,30.0,0.0,22.0
Etawah,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Etimesgut,7.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
Eugene,1.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0
Eunápolis,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Euskirchen,4.0,0.0,1.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Evanston,2.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
Everett,13.0,0.0,0.0,18.0,1.0,6.0,11.0,0.0,2.0,0.0,0.0
Evreux,11.0,0.0,0.0,7.0,1.0,5.0,2.0,0.0,2.0,0.0,0.0
Evry,15.0,0.0,0.0,16.0,1.0,7.0,10.0,0.0,3.0,0.0,0.0
Exeter,11.0,0.0,3.0,10.0,1.0,3.0,6.0,0.0,2.0,0.0,0.0
Ezhou,2.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
Facatativá,3.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
Faches-Thumesnil,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0
Faenza,1.0,1.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0
Fairfield,34.0,0.0,0.0,48.0,1.0,6.0,22.0,0.0,8.0,0.0,0.0
Falconara Marittima,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Fano,6.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
Fareham,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Fargo,3.0,0.0,0.0,10.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0
